Word-1: bölge, Word-1-Size: 205, Word-2: adliye, Word-2-Size: 205, Bigram-Words: ('bölge', 'adliye'), Bigram-Words-Size: 204, Mutual Information 7.338691236655595
Word-1: gün, Word-1-Size: 124, Word-2: sayıları, Word-2-Size: 27, Bigram-Words: ('gün', 'sayıları'), Bigram-Words-Size: 27, Mutual Information 8.071029783308116
Word-1: sayıları, Word-1-Size: 27, Word-2: yazılı, Word-2-Size: 78, Bigram-Words: ('sayıları', 'yazılı'), Bigram-Words-Size: 27, Mutual Information 8.739823874832743
Word-1: dosya, Word-1-Size: 91, Word-2: gereği, Word-2-Size: 103, Bigram-Words: ('dosya', 'gereği'), Bigram-Words-Size: 26, Mutual Information 6.531370644454169
Word-1: yasaya, Word-1-Size: 37, Word-2: uygun, Word-2-Size: 51, Bigram-Words: ('yasaya', 'uygun'), Bigram-Words-Size: 26, Mutual Information 8.843787104235638
Word-1: kanıt, Word-1-Size: 27, Word-2: kararın, Word-2-Size: 110, Bigram-Words: ('kanıt', 'kararın'), Bigram-Words-Size: 26, Mutual Information 8.189418596147956
Word-1: dayandığı, Word-1-Size: 37, Word-2: gerekçelere, Word-2-Size: 28, Bigram-Words: ('dayandığı', 'gerekçelere'), Bigram-Words-Size: 26, Mutual Information 9.70885752414953
Word-1: el, Word-1-Size: 36, Word-2: atılan, Word-2-Size: 26, Bigram-Words: ('el', 'atılan'), Bigram-Words-Size: 26, Mutual Information 9.85530109225268
Word-1: karar, Word-1-Size: 509, Word-2: verilmesinde, Word-2-Size: 25, Bigram-Words: ('karar', 'verilmesinde'), Bigram-Words-Size: 25, Mutual Information 6.033704247619297
Word-1: bedelinin, Word-1-Size: 96, Word-2: tahsili, Word-2-Size: 65, Bigram-Words: ('bedelinin', 'tahsili'), Bigram-Words-Size: 25, Mutual Information 7.061751969720106
Word-1: taşınmazın, Word-1-Size: 131, Word-2: davacı, Word-2-Size: 329, Bigram-Words: ('taşınmazın', 'davacı'), Bigram-Words-Size: 25, Mutual Information 4.273715508197024
Word-1: yoksun, Word-1-Size: 54, Word-2: kalma, Word-2-Size: 47, Bigram-Words: ('yoksun', 'kalma'), Bigram-Words-Size: 25, Mutual Information 8.35960592962861
Word-1: esas, Word-1-Size: 77, Word-2: hakkında, Word-2-Size: 82, Bigram-Words: ('esas', 'hakkında'), Bigram-Words-Size: 25, Mutual Information 7.044743738156731
Word-1: davacı, Word-1-Size: 329, Word-2: davasının, Word-2-Size: 46, Bigram-Words: ('davacı', 'davasının'), Bigram-Words-Size: 25, Mutual Information 5.783576553677462
Word-1: işleyecek, Word-1-Size: 78, Word-2: davalı, Word-2-Size: 391, Bigram-Words: ('işleyecek', 'davalı'), Bigram-Words-Size: 25, Mutual Information 4.772655267300116
Word-1: davalılar, Word-1-Size: 74, Word-2: ak, Word-2-Size: 25, Bigram-Words: ('davalılar', 'ak'), Bigram-Words-Size: 25, Mutual Information 8.815772728066042
Word-1: ak, Word-1-Size: 25, Word-2: sigorta, Word-2-Size: 99, Bigram-Words: ('ak', 'sigorta'), Bigram-Words-Size: 25, Mutual Information 8.395869473615383
Word-1: sigorta, Word-1-Size: 99, Word-2: müştereken, Word-2-Size: 41, Bigram-Words: ('sigorta', 'müştereken'), Bigram-Words-Size: 25, Mutual Information 7.682173658772023
Word-1: bentte, Word-1-Size: 28, Word-2: açıklanan, Word-2-Size: 88, Bigram-Words: ('bentte', 'açıklanan'), Bigram-Words-Size: 25, Mutual Information 8.402295742774815
Word-1: temyiz, Word-1-Size: 346, Word-2: harcının, Word-2-Size: 57, Bigram-Words: ('temyiz', 'harcının'), Bigram-Words-Size: 25, Mutual Information 5.40156404166825
Word-1: gün, Word-1-Size: 124, Word-2: gün, Word-2-Size: 124, Bigram-Words: ('gün', 'gün'), Bigram-Words-Size: 25, Mutual Information 5.760689662695966
Word-1: sayılı, Word-1-Size: 509, Word-2: kararının, Word-2-Size: 83, Bigram-Words: ('sayılı', 'kararının'), Bigram-Words-Size: 24, Mutual Information 4.2436273169935275
Word-1: itibaren, Word-1-Size: 79, Word-2: işleyecek, Word-2-Size: 78, Bigram-Words: ('itibaren', 'işleyecek'), Bigram-Words-Size: 24, Mutual Information 7.0210056273767965
Word-1: temyiz, Word-1-Size: 346, Word-2: eden, Word-2-Size: 44, Bigram-Words: ('temyiz', 'eden'), Bigram-Words-Size: 24, Mutual Information 5.716128748142126
Word-1: bozma, Word-1-Size: 86, Word-2: kararı, Word-2-Size: 201, Bigram-Words: ('bozma', 'kararı'), Bigram-Words-Size: 24, Mutual Information 5.532872148535121
Word-1: atılan, Word-1-Size: 26, Word-2: taşınmaz, Word-2-Size: 42, Bigram-Words: ('atılan', 'taşınmaz'), Bigram-Words-Size: 24, Mutual Information 9.517431453496295
Word-1: taşınmaz, Word-1-Size: 42, Word-2: bedelinin, Word-2-Size: 96, Bigram-Words: ('taşınmaz', 'bedelinin'), Bigram-Words-Size: 24, Mutual Information 7.6329086709162315
Word-1: işleyecek, Word-1-Size: 78, Word-2: yasal, Word-2-Size: 54, Bigram-Words: ('işleyecek', 'yasal'), Bigram-Words-Size: 23, Mutual Information 7.508498328726287
Word-1: yasal, Word-1-Size: 54, Word-2: faizi, Word-2-Size: 55, Bigram-Words: ('yasal', 'faizi'), Bigram-Words-Size: 23, Mutual Information 8.012540834063877
Word-1: istek, Word-1-Size: 23, Word-2: halinde, Word-2-Size: 54, Bigram-Words: ('istek', 'halinde'), Bigram-Words-Size: 23, Mutual Information 9.270338591531523
Word-1: adliye, Word-1-Size: 205, Word-2: mahkemelerinin, Word-2-Size: 30, Bigram-Words: ('adliye', 'mahkemelerinin'), Bigram-Words-Size: 23, Mutual Information 6.96241735463804
Word-1: sayılı, Word-1-Size: 509, Word-2: maddeleri, Word-2-Size: 27, Bigram-Words: ('sayılı', 'maddeleri'), Bigram-Words-Size: 22, Mutual Information 5.738248364093125
Word-1: kapsamı, Word-1-Size: 25, Word-2: dışında, Word-2-Size: 29, Bigram-Words: ('kapsamı', 'dışında'), Bigram-Words-Size: 22, Mutual Information 9.982820527429991
Word-1: söz, Word-1-Size: 26, Word-2: konusu, Word-2-Size: 74, Bigram-Words: ('söz', 'konusu'), Bigram-Words-Size: 22, Mutual Information 8.574764628562248
Word-1: karar, Word-1-Size: 509, Word-2: vermek, Word-2-Size: 23, Bigram-Words: ('karar', 'vermek'), Bigram-Words-Size: 22, Mutual Information 5.969573910199581
Word-1: dosya, Word-1-Size: 91, Word-2: içindeki, Word-2-Size: 22, Bigram-Words: ('dosya', 'içindeki'), Bigram-Words-Size: 22, Mutual Information 8.517431453496295
Word-1: sayılı, Word-1-Size: 509, Word-2: kararı, Word-2-Size: 201, Bigram-Words: ('sayılı', 'kararı'), Bigram-Words-Size: 22, Mutual Information 2.842084175077665
Word-1: karşılıklı, Word-1-Size: 26, Word-2: olarak, Word-2-Size: 287, Bigram-Words: ('karşılıklı', 'olarak'), Bigram-Words-Size: 22, Mutual Information 6.619311067515509
Word-1: mahkemelerinin, Word-1-Size: 30, Word-2: faaliyete, Word-2-Size: 22, Bigram-Words: ('mahkemelerinin', 'faaliyete'), Bigram-Words-Size: 22, Mutual Information 10.118335498086473
Word-1: iki, Word-1-Size: 39, Word-2: farklı, Word-2-Size: 23, Bigram-Words: ('iki', 'farklı'), Bigram-Words-Size: 22, Mutual Information 9.675693537413029
Word-1: belirsiz, Word-1-Size: 24, Word-2: alacak, Word-2-Size: 27, Bigram-Words: ('belirsiz', 'alacak'), Bigram-Words-Size: 22, Mutual Information 10.144807709447665
Word-1: hukuk, Word-1-Size: 374, Word-2: mahkemeleri, Word-2-Size: 44, Bigram-Words: ('hukuk', 'mahkemeleri'), Bigram-Words-Size: 22, Mutual Information 5.478331633807355
Word-1: arasındaki, Word-1-Size: 91, Word-2: sayılı, Word-2-Size: 509, Bigram-Words: ('arasındaki', 'sayılı'), Bigram-Words-Size: 22, Mutual Information 3.9853412260578973
Word-1: dairesinin, Word-1-Size: 29, Word-2: istinaf, Word-2-Size: 151, Bigram-Words: ('dairesinin', 'istinaf'), Bigram-Words-Size: 22, Mutual Information 7.388271977879638
Word-1: görüşülüp, Word-1-Size: 47, Word-2: sayılı, Word-2-Size: 509, Bigram-Words: ('görüşülüp', 'sayılı'), Bigram-Words-Size: 22, Mutual Information 4.9385470145789565
Word-1: idare, Word-1-Size: 178, Word-2: vekili, Word-2-Size: 116, Bigram-Words: ('idare', 'vekili'), Bigram-Words-Size: 22, Mutual Information 5.150943286238319
Word-1: verilmesinde, Word-1-Size: 25, Word-2: bir, Word-2-Size: 267, Bigram-Words: ('verilmesinde', 'bir'), Bigram-Words-Size: 22, Mutual Information 6.7801055908700105
Word-1: kısıtlı, Word-1-Size: 57, Word-2: adayı, Word-2-Size: 23, Bigram-Words: ('kısıtlı', 'adayı'), Bigram-Words-Size: 22, Mutual Information 9.128205742110534
Word-1: kararı, Word-1-Size: 201, Word-2: verilmesi, Word-2-Size: 56, Bigram-Words: ('kararı', 'verilmesi'), Bigram-Words-Size: 22, Mutual Information 6.026251099095756
Word-1: uygun, Word-1-Size: 51, Word-2: olan, Word-2-Size: 108, Bigram-Words: ('uygun', 'olan'), Bigram-Words-Size: 21, Mutual Information 6.990230672338788
Word-1: başvurusunun, Word-1-Size: 72, Word-2: bölge, Word-2-Size: 205, Bigram-Words: ('başvurusunun', 'bölge'), Bigram-Words-Size: 21, Mutual Information 5.568138415525993
Word-1: temyiz, Word-1-Size: 346, Word-2: dosyada, Word-2-Size: 67, Bigram-Words: ('temyiz', 'dosyada'), Bigram-Words-Size: 21, Mutual Information 4.916826098379255
Word-1: karar, Word-1-Size: 509, Word-2: kısıtlı, Word-2-Size: 57, Bigram-Words: ('karar', 'kısıtlı'), Bigram-Words-Size: 21, Mutual Information 4.593131656233315
Word-1: hakkında, Word-1-Size: 82, Word-2: vesayet, Word-2-Size: 65, Bigram-Words: ('hakkında', 'vesayet'), Bigram-Words-Size: 21, Mutual Information 7.037623698827214
